UID,tax_identification_number,legal_form_code,industry,entity_size_code,legal_name,location,location_code,incorporation_date,listed_entity_flag,last_updated,compliance
GR0000000001,786579303,AT,Technology and Innovation,S,Next Olympic Kosmos,Thesprotia,N0420,2022-08-20,False,2024-06-21 15:50:41,Compliant
GR0000000002,219540831,AT,Automotive,S,Kairos Performance,Evia,N0820,2008-06-09,False,2024-12-21 08:18:07,Non-Compliant
GR0000000003,126855092,OE,Financial Services,M,Logos Greek Psyche OE,Serres,N0260,2013-10-11,True,2024-03-20 08:56:41,Somewhat Compliant
GR0000000004,896233790,IKE,Automotive,M,Components Energeia IKE,Chios,N1130,2009-09-27,False,2024-01-17 17:48:11,Compliant
GR0000000005,395310485,AT,Financial Services,L,Agon Hellenic Chronos,Arta,N0410,2002-04-11,True,2024-09-14 10:00:25,Compliant
GR0000000006,362950628,AT,Agriculture and Food Production,M,Kairos Livestock Pathos,Imathia,N0210,1999-09-13,False,2024-08-04 15:35:45,Non-Compliant
GR0000000007,339670711,IKE,Agriculture and Food Production,S,Aegean Demos IKE,Kavala,N0130,2015-05-18,False,2024-05-12 17:32:19,Somewhat Compliant
GR0000000008,249827706,AE,Tourism and Hospitality,M,Harmonia Ecclesia AE,Euritania,N0830,1996-11-21,False,2024-12-29 11:27:59,Compliant
GR0000000009,890779946,AE,Tourism and Hospitality,S,Chronos Journey AE,Lasithio,N1320,2017-03-30,False,2024-03-21 12:05:33,Compliant
GR0000000010,210053353,AT,Technology and Innovation,M,Aegean Doric,Viotia,N0810,2004-11-02,False,2024-07-12 10:47:13,Somewhat Compliant
GR0000000011,826600539,IKE,Agriculture and Food Production,S,Vegetables Soil Theoria IKE,Kyklades,N1210,1995-03-01,False,2024-07-24 17:03:14,Non-Compliant
GR0000000012,895285932,AT,Energy,S,Greek Clean,Kastoria,N0320,2023-08-26,False,2024-07-19 10:52:47,Compliant
GR0000000013,685582861,IKE,Energy,S,Xenia Nomos Paideia IKE,Arta,N0410,2005-01-01,False,2024-10-13 17:53:04,Compliant
GR0000000014,193349856,IKE,Healthcare,M,Kalon Theoria Arete IKE,Arta,N0410,2005-04-29,False,2024-12-20 15:30:20,Compliant
GR0000000015,734036506,AT,Logistics and Transportation,L,Carrier Episteme Aegean,Pieria,N0250,2015-12-04,True,2024-11-30 14:52:24,Compliant
GR0000000016,553035110,AT,Healthcare,M,Koinonia Zoe Physicians,Serres,N0260,2022-12-26,True,2024-03-25 08:51:23,Compliant
GR0000000017,134126396,IKE,Technology and Innovation,S,Harmonia Network Integrated IKE,Magnisia,N0530,2004-07-23,False,2024-11-27 14:12:17,Compliant
GR0000000018,131994523,AT,Consumer Goods and Retail,S,Arete Xenia,Chios,N1130,2005-09-20,False,2024-02-25 09:04:23,Compliant
GR0000000019,200604502,AE,Healthcare,S,Pharma Hellenic Chronos AE,Korinthos,N1030,2016-07-24,False,2024-11-04 13:01:15,Compliant
GR0000000020,334760738,IKE,Tourism and Hospitality,S,Aegean Athens Theoria IKE,Evros,N0120,2009-11-13,False,2024-05-24 10:34:06,Compliant
GR0000000021,349817734,IKE,Manufacturing,S,Episteme Kalon Ecclesia IKE,Magnisia,N0530,2011-11-10,False,2024-02-03 11:38:00,Compliant
GR0000000022,642621108,AE,Technology and Innovation,S,Psyche Ecclesia AE,Fthiotida,N0840,2004-03-16,False,2024-06-07 11:35:12,Somewhat Compliant
GR0000000023,746412689,OE,Logistics and Transportation,S,Ethos Praxis OE,Karditsa,N0510,2012-12-14,False,2024-11-22 08:15:17,Somewhat Compliant
GR0000000024,128492780,IKE,Healthcare,S,Agon Healing Hellenic IKE,Magnisia,N0530,2003-04-06,False,2024-02-13 17:36:02,Compliant
GR0000000025,702632297,IKE,Manufacturing,S,Greek Arete Crete IKE,Chios,N1130,1995-04-20,False,2024-10-15 15:02:03,Compliant
GR0000000026,313500298,IKE,Logistics and Transportation,S,Distribution Junction IKE,Ioannina,N0430,2011-04-10,False,2024-06-10 09:19:00,Compliant
GR0000000027,868820204,AT,Agriculture and Food Production,S,Dynamis Gaia Ecclesia,Athens,N0910,1995-06-11,False,2024-07-01 12:25:32,Compliant
GR0000000028,797808098,AT,Automotive,M,Sophia Nous,Argolida,N1010,1998-04-22,False,2024-04-09 13:48:25,Compliant
